,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Weld ID,Electrode Positive,Electrode Negative
84,0.1,0.28,1.45,0.023,0.037,0.065,0.058,0.24,0.11,0.09,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,620.0,Gar&K-1975-25mm-8aw,1,0
85,0.1,0.28,1.45,0.023,0.037,0.065,0.058,0.24,0.11,0.09,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,315.5241935483871,3.5753225806451616,740.0,Gar&K-1975-25mm-8ht,1,0
86,0.11,0.28,1.39,0.009,0.017,0.065,0.069,0.008,0.032,0.12,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,525.0,Gar&K-1975-25mm-9aw,1,0
87,0.11,0.28,1.39,0.009,0.017,0.065,0.069,0.008,0.032,0.12,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,540.0,Gar&K-1975-25mm-9ht,1,0
88,0.1,0.38,1.58,0.013,0.016,0.046,0.053,0.006,0.032,0.12,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,540.0,Gar&K-1975-25mm-10aw,1,0
89,0.1,0.38,1.58,0.013,0.016,0.046,0.053,0.006,0.032,0.12,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,580.0,Gar&K-1975-25mm-10ht,1,0
90,0.12,0.3,1.51,0.006,0.013,0.09,0.07,0.27,0.036,0.15,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,592.0,Gar&K-1975-25mm-11aw,1,0
91,0.12,0.3,1.51,0.006,0.013,0.09,0.07,0.27,0.036,0.15,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,630.0,Gar&K-1975-25mm-11ht,1,0
92,0.1,0.41,1.83,0.009,0.014,0.095,0.078,0.3,0.041,0.16,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,610.0,Gar&K-1975-25mm-12aw,1,0
93,0.1,0.41,1.83,0.009,0.014,0.095,0.078,0.3,0.041,0.16,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,692.0,Gar&K-1975-25mm-12ht,1,0
94,0.12,0.3,1.4,0.016,0.075,0.14,0.11,0.025,0.005,0.25,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,426.0,Gar&K-1975-25mm-13aw,1,0
95,0.12,0.3,1.4,0.016,0.075,0.14,0.11,0.025,0.005,0.25,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,431.0,Gar&K-1975-25mm-13ht,1,0
96,0.08,0.3,1.35,0.013,0.014,0.03,0.03,0.005,0.046,0.043,420.0,90.0,150.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,500.0,Gar&K-1975-12mm-14aw,1,0
97,0.08,0.3,1.35,0.013,0.014,0.03,0.03,0.005,0.046,0.043,420.0,90.0,150.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,522.0,Gar&K-1975-12mm-14ht,1,0
98,0.08,0.28,1.39,0.011,0.015,0.028,0.03,0.17,0.049,0.044,340.0,54.0,150.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,562.0,Gar&K-1975-12mm-15aw,1,0
99,0.08,0.28,1.39,0.011,0.015,0.028,0.03,0.17,0.049,0.044,340.0,54.0,150.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,642.0,Gar&K-1975-12mm-15ht,1,0
100,0.08,0.29,1.33,0.01,0.017,0.032,0.03,0.43,0.05,0.053,450.0,95.0,150.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,562.0,Gar&K-1975-12mm-16aw,1,0
101,0.08,0.29,1.33,0.01,0.017,0.032,0.03,0.43,0.05,0.053,450.0,95.0,150.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,701.0,Gar&K-1975-12mm-16ht,1,0
102,0.16,0.13,1.06,0.028,0.013,0.03,0.02,0.005,0.005,0.048,410.0,67.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,355.0,Gar&K-1975-12mm-17aw,1,0
103,0.16,0.13,1.06,0.028,0.013,0.03,0.02,0.005,0.005,0.048,410.0,67.0,50.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,330.0,Gar&K-1975-12mm-17ht,1,0
104,0.12,0.26,1.4,0.012,0.014,0.057,0.05,0.009,0.056,0.106,420.0,138.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,522.0,Gar&K-1975-12mm-18aw,1,0
105,0.12,0.26,1.4,0.012,0.014,0.057,0.05,0.009,0.056,0.106,420.0,138.0,50.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,581.0,Gar&K-1975-12mm-18ht,1,0
106,0.11,0.26,1.44,0.008,0.012,0.069,0.056,0.01,0.105,0.076,410.0,145.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,577.0,Gar&K-1975-12mm-19aw,1,0
107,0.11,0.26,1.44,0.008,0.012,0.069,0.056,0.01,0.105,0.076,410.0,145.0,50.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,599.0,Gar&K-1975-12mm-19ht,1,0
108,0.16,0.12,1.04,0.027,0.012,0.027,0.02,0.15,0.005,0.041,420.0,67.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,405.0,Gar&K-1975-12mm-20aw,1,0
109,0.16,0.12,1.04,0.027,0.012,0.027,0.02,0.15,0.005,0.041,420.0,67.0,50.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,405.0,Gar&K-1975-12mm-20ht,1,0
110,0.1,0.35,1.54,0.009,0.016,0.06,0.049,0.18,0.057,0.11,420.0,138.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,556.0,Gar&K-1975-12mm-21aw,1,0
111,0.1,0.35,1.54,0.009,0.016,0.06,0.049,0.18,0.057,0.11,420.0,138.0,50.0,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,593.0,Gar&K-1975-12mm-21ht,1,0
112,0.11,0.27,1.47,0.008,0.012,0.07,0.054,0.22,0.095,0.072,480.0,139.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,556.0,Gar&K-1975-12mm-22aw,1,0
