,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID
51,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,96.0,Mart-De
52,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,123.0,Mart-Df
53,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,139.0,Mart-Dg
54,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,40.0,135.0,Mart-Dh
55,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,60.0,148.0,Mart-Di
56,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,537.0,620.0,11.0,24.0,-5.873015873015873,66.66666666666667,Mart-E
57,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,9.0,Mart-Ea
58,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,9.0,Mart-Eb
59,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-40.0,12.0,Mart-Ec
60,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,22.0,Mart-Ed
61,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,46.0,Mart-Ee
62,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,96.0,Mart-Ef
63,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,40.0,154.0,Mart-Eg
64,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,60.0,164.0,Mart-Eh
65,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,212.35294117647058,165.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.034,0.008,300.0,28.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,70.0,167.0,Mart-Ei
66,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,595.0,675.0,24.0,69.0,-5.873015873015873,66.66666666666667,Mart-F
67,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,3.0,Mart-Fa
68,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,3.0,Mart-Fb
69,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-40.0,6.0,Mart-Fc
70,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,12.0,Mart-Fd
71,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,31.0,Mart-Fe
72,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,52.0,Mart-Ff
73,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,212.35294117647058,113.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.032,0.008,290.0,29.0,DC,+,2.0,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,40.0,80.0,Mart-Fg
