,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative,Group
44,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,46.0,Mart-Ee,1,0,Mart
45,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,96.0,Mart-Ef,1,0,Mart
46,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,154.0,Mart-Eg,1,0,Mart
47,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,164.0,Mart-Eh,1,0,Mart
48,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,70.0,167.0,Mart-Ei,1,0,Mart
49,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,595.0,675.0,24.0,69.0,-5.873015873015873,66.66666666666667,Mart-F,1,0,Mart
50,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,3.0,Mart-Fa,1,0,Mart
51,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,3.0,Mart-Fb,1,0,Mart
52,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,6.0,Mart-Fc,1,0,Mart
53,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,12.0,Mart-Fd,1,0,Mart
