Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.069,0.33,0.68,0.006,0.008,0.0,0.0,0.24,0.0005,0.0,,,395.0,36.0,67.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-82.0,28.0,,,EvansLetter-A+.25Moch2,,,0,0,EvansLetter
0.073,0.34,0.66,0.007,0.007,0.0,0.0,0.5,0.0005,0.0,,,433.0,42.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,483.0,565.0,27.2,78.0,,,,,EvansLetter-A+.5Mo,,,0,0,EvansLetter
0.073,0.34,0.66,0.007,0.007,0.0,0.0,0.5,0.0005,0.0,,,433.0,42.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-48.0,100.0,,,EvansLetter-A+.5Moch1,,,0,0,EvansLetter
0.073,0.34,0.66,0.007,0.007,0.0,0.0,0.5,0.0005,0.0,,,433.0,42.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-65.0,28.0,,,EvansLetter-A+.5Moch2,,,0,0,EvansLetter
0.072,0.32,0.66,0.007,0.007,0.0,0.0,1.03,0.0005,0.0,,,411.0,40.0,76.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,565.0,644.0,23.6,76.0,,,,,EvansLetter-A+1Mo,,,0,0,EvansLetter
0.072,0.32,0.66,0.007,0.007,0.0,0.0,1.03,0.0005,0.0,,,411.0,40.0,76.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-33.0,100.0,,,EvansLetter-A+1Moch1,,,0,0,EvansLetter
0.072,0.32,0.66,0.007,0.007,0.0,0.0,1.03,0.0005,0.0,,,411.0,40.0,76.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-66.0,28.0,,,EvansLetter-A+1Moch2,,,0,0,EvansLetter
0.077,0.32,0.66,0.008,0.01,0.0,1.03,0.0,0.0005,0.0,,,457.0,34.0,75.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,490.0,558.0,21.0,77.9,,,,,EvansLetter-A+1Cr,,,0,0,EvansLetter
0.077,0.32,0.66,0.008,0.01,0.0,1.03,0.0,0.0005,0.0,,,457.0,34.0,75.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-35.0,100.0,,,EvansLetter-A+1Crch1,,,0,0,EvansLetter
0.077,0.32,0.66,0.008,0.01,0.0,1.03,0.0,0.0005,0.0,,,457.0,34.0,75.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-54.0,28.0,,,EvansLetter-A+1Crch2,,,0,0,EvansLetter
0.078,0.26,0.62,0.007,0.005,0.0,1.6,0.0,0.0005,0.0,,,472.0,29.0,100.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,509.0,596.0,17.0,74.0,,,,,EvansLetter-A+1.5Cr,,,0,0,EvansLetter
0.078,0.26,0.62,0.007,0.005,0.0,1.6,0.0,0.0005,0.0,,,472.0,29.0,100.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-8.0,100.0,,,EvansLetter-A+1.5Crch1,,,0,0,EvansLetter
0.078,0.26,0.62,0.007,0.005,0.0,1.6,0.0,0.0005,0.0,,,472.0,29.0,100.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-35.0,28.0,,,EvansLetter-A+1.5Crch2,,,0,0,EvansLetter
0.078,0.28,0.64,0.008,0.007,0.0,2.15,0.0,0.0005,0.0,,,482.0,42.0,95.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,598.0,685.0,18.0,68.6,,,,,EvansLetter-A+2Cr,,,0,0,EvansLetter
0.078,0.28,0.64,0.008,0.007,0.0,2.15,0.0,0.0005,0.0,,,482.0,42.0,95.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,8.0,100.0,,,EvansLetter-A+2Crch1,,,0,0,EvansLetter
0.078,0.28,0.64,0.008,0.007,0.0,2.15,0.0,0.0005,0.0,,,482.0,42.0,95.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-33.0,28.0,,,EvansLetter-A+2Crch2,,,0,0,EvansLetter
0.063,0.3,0.64,0.008,0.008,0.0,0.0,0.0,0.0005,0.53,,,453.0,43.0,74.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,417.0,498.0,29.2,78.9,,,,,EvansLetter-A+0.5Cu,,,0,0,EvansLetter
0.063,0.3,0.64,0.008,0.008,0.0,0.0,0.0,0.0005,0.53,,,453.0,43.0,74.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-62.0,100.0,,,EvansLetter-A+0.5Cuch1,,,0,0,EvansLetter
0.063,0.3,0.64,0.008,0.008,0.0,0.0,0.0,0.0005,0.53,,,453.0,43.0,74.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-94.0,28.0,,,EvansLetter-A+0.5Cuch2,,,0,0,EvansLetter
0.064,0.3,0.63,0.007,0.007,0.0,0.0,0.0,0.0005,1.05,,,456.0,42.0,65.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,429.0,497.0,26.6,77.0,,,,,EvansLetter-A+1Cu,,,0,0,EvansLetter
0.064,0.3,0.63,0.007,0.007,0.0,0.0,0.0,0.0005,1.05,,,456.0,42.0,65.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-58.0,100.0,,,EvansLetter-A+1Cuch1,,,0,0,EvansLetter
